date,value
2014-11-06,0.0625518063476949
2014-11-14,0.0986307747543512
2014-11-22,0.043614707645577
2014-12-01,0.0527380910687489
2014-12-08,0.0167536843094936
2014-12-16,0.0735186849907309
2014-12-17,0.0373490509830445
2014-12-25,0.0812547636146432
2015-01-01,0.0681412690659747
2015-01-02,0.0275595335514806
2015-01-09,0.0275435029791481
2015-01-10,0.0745961486509506
2015-01-17,0.0587088016343275
2015-01-18,0.0224407534980818
2015-02-10,0.0292999581763921
2015-02-18,0.0636367586279219
2015-02-26,0.0248589100972103
2015-03-06,0.0428803798514511
2015-03-15,0.0601114957923251
2015-03-23,0.0319110184446142
2015-04-07,0.075502844362495
2015-04-08,0.0117859334598805
2015-04-16,0.101893274208767
2015-04-24,0.0738288007762599
2015-05-02,0.30519069207777
2015-05-17,0.128502339057552
